event_id,event_seq,shift_hour_at_event,hours_remaining_in_shift,rul_numeric,kpi_score,n_kpi_bad,recent_temp_dev_c,recent_vibration_mm_s,recent_waste_kg_last_hour,recent_oee_pct,operator_skill_level,on_hold_inventory_kg_current,action_freq_same_situation_2w,action_freq_same_situation_2m,action_success_rate_2m,status,criticality,asset_type,qc_nogo,plant,state,action_id,t_resolve_min,unplanned_downtime_remaining_shift_min,waste_kg_remaining_shift,temp_deviation_c_avg,vibration_mm_s_avg,production_goal_pct_remaining,true_efficiency_pct_remaining,consumer_complaints_expected,quality_ok_pct_remaining,operator_satisfaction_1_5,on_hold_inventory_kg_generated,weighted_kpi_impact
EV-00000,0,6,2,788.1,72.5,0,1.64,1.08,11.3,74.6,2,80.7,0.0,0.0,0.5,Working,Low,Bag Maker,0,Beloit,WI,0,0.0,10.926,23.439,1.577,1.168,94.257,86.014,0.703,96.176,3.66,8.496,0.9386
EV-00000,0,6,2,788.1,72.5,0,1.64,1.08,11.3,74.6,2,80.7,0.0,0.0,0.5,Working,Low,Bag Maker,0,Beloit,WI,1,38.384,45.228,4.69,1.19,0.859,76.07,74.208,0.76,91.592,3.266,91.32,0.8536
EV-00000,0,6,2,788.1,72.5,0,1.64,1.08,11.3,74.6,2,80.7,0.0,0.0,0.5,Working,Low,Bag Maker,0,Beloit,WI,2,56.637,81.575,41.438,1.154,0.609,76.385,88.224,0.438,96.11,3.486,121.455,0.8485
EV-00000,0,6,2,788.1,72.5,0,1.64,1.08,11.3,74.6,2,80.7,0.0,0.0,0.5,Working,Low,Bag Maker,0,Beloit,WI,4,20.93,26.899,9.917,1.644,1.036,83.543,78.178,1.235,97.793,3.453,37.489,0.8915
EV-00000,0,6,2,788.1,72.5,0,1.64,1.08,11.3,74.6,2,80.7,0.0,0.0,0.5,Working,Low,Bag Maker,0,Beloit,WI,6,8.967,9.128,31.996,1.247,1.009,67.72,70.608,0.276,96.832,3.635,59.761,0.8806
EV-00001,1,7,1,487.0,90.2,0,0.66,0.59,4.1,80.2,4,139.1,0.0,0.0,0.5,Working,Medium,Palletizer,0,Killingly,CT,0,0.0,4.294,4.325,0.743,0.677,99.27,82.237,0.0,96.252,4.561,33.877,0.9626
EV-00001,1,7,1,487.0,90.2,0,0.66,0.59,4.1,80.2,4,139.1,0.0,0.0,0.5,Working,Medium,Palletizer,0,Killingly,CT,1,29.913,35.094,12.259,0.588,0.543,82.905,84.084,0.922,96.705,3.641,66.364,0.894
EV-00001,1,7,1,487.0,90.2,0,0.66,0.59,4.1,80.2,4,139.1,0.0,0.0,0.5,Working,Medium,Palletizer,0,Killingly,CT,2,41.079,104.911,42.086,0.353,0.466,67.083,56.679,0.388,91.517,3.258,56.325,0.7999
EV-00001,1,7,1,487.0,90.2,0,0.66,0.59,4.1,80.2,4,139.1,0.0,0.0,0.5,Working,Medium,Palletizer,0,Killingly,CT,4,14.822,22.522,0.0,0.687,0.595,72.386,83.805,0.725,92.294,2.984,17.138,0.8872
EV-00001,1,7,1,487.0,90.2,0,0.66,0.59,4.1,80.2,4,139.1,0.0,0.0,0.5,Working,Medium,Palletizer,0,Killingly,CT,6,13.389,9.627,0.0,0.546,0.416,52.603,61.719,0.472,97.748,3.38,47.2,0.851
EV-00002,2,0,8,523.0,67.3,0,0.32,0.97,4.4,80.3,5,134.5,0.0,0.0,0.5,Working,High,Case Packer,0,Topeka,KS,0,0.0,1.875,32.534,0.37,0.918,96.736,84.357,0.516,95.92,4.481,56.548,0.9547
EV-00002,2,0,8,523.0,67.3,0,0.32,0.97,4.4,80.3,5,134.5,0.0,0.0,0.5,Working,High,Case Packer,0,Topeka,KS,1,34.402,52.293,22.527,0.301,0.772,82.527,79.047,0.376,96.351,4.071,35.149,0.8856
